week,openrouter_author,revenue,market_share
2024-11-04,xwin-lm,8.710901250000001,3.407231331491355e-05
2024-11-04,teknium,7.940002659999999,3.105697683724368e-05
2024-11-04,sophosympatheia,6.6552584,2.6031755255693003e-05
2024-11-04,databricks,4.4848674,1.7542364772949492e-05
2024-11-04,jondurbin,3.7426795,1.4639328916890659e-05
2024-11-04,liquid,2.6962349999999997,1.0546206535246388e-05
2024-11-04,01-ai,0.0,0.0
2024-11-04,allenai,0.0,0.0
2024-11-04,austism,0.0,0.0
2024-11-04,bigcode,0.0,0.0
2024-11-04,fireworks,0.0,0.0
2024-11-04,huggingfaceh4,0.0,0.0
2024-11-04,intel,0.0,0.0
2024-11-04,jebcarter,0.0,0.0
2024-11-04,koboldai,0.0,0.0
2024-11-04,liuhaotian,0.0,0.0
2024-11-04,lynn,0.0,0.0
2024-11-04,mattshumer,0.0,0.0
2024-11-04,migtissera,0.0,0.0
2024-11-04,open-orca,0.0,0.0
2024-11-04,openrouter,0.0,0.0
2024-11-04,phind,0.0,0.0
2024-11-04,raifle,0.0,0.0
2024-11-04,recursal,0.0,0.0
2024-11-04,rwkv,0.0,0.0
2024-11-04,snowflake,0.0,0.0
2024-11-04,togethercomputer,0.0,0.0
2024-11-11,01-ai,0.0,
2024-11-11,aetherwiing,0.0,
2024-11-11,ai21,0.0,
2024-11-11,allenai,0.0,
2024-11-11,alpindale,0.0,
2024-11-11,anthracite-org,0.0,
2024-11-11,anthropic,0.0,
2024-11-11,austism,0.0,
2024-11-11,bigcode,0.0,
2024-11-11,cognitivecomputations,0.0,
2024-11-11,cohere,0.0,
2024-11-11,databricks,0.0,
2024-11-11,deepseek,0.0,
2024-11-11,eva-unit-01,0.0,
2024-11-11,fireworks,0.0,
2024-11-11,google,0.0,
2024-11-11,gryphe,0.0,
2024-11-11,huggingfaceh4,0.0,
2024-11-11,infermatic,0.0,
2024-11-11,inflection,0.0,
2024-11-11,intel,0.0,
2024-11-11,jebcarter,0.0,
2024-11-11,jondurbin,0.0,
2024-11-11,koboldai,0.0,
2024-11-11,liquid,0.0,
2024-11-11,liuhaotian,0.0,
2024-11-11,lizpreciatior,0.0,
2024-11-11,lynn,0.0,
2024-11-11,mancer,0.0,
2024-11-11,mattshumer,0.0,
2024-11-11,meta-llama,0.0,
2024-11-11,microsoft,0.0,
2024-11-11,migtissera,0.0,
2024-11-11,mistralai,0.0,
2024-11-11,neversleep,0.0,
2024-11-11,nothingiisreal,0.0,
2024-11-11,nousresearch,0.0,
2024-11-11,nvidia,0.0,
2024-11-11,open-orca,0.0,
2024-11-11,openai,0.0,
2024-11-11,openchat,0.0,
2024-11-11,openrouter,0.0,
2024-11-11,perplexity,0.0,
2024-11-11,phind,0.0,
2024-11-11,pygmalionai,0.0,
2024-11-11,qwen,0.0,
2024-11-11,raifle,0.0,
2024-11-11,recursal,0.0,
2024-11-11,rwkv,0.0,
2024-11-11,sao10k,0.0,
